run_id,map_id,initial_boids,initial_predators,refuge_capacity,food_ratio,timestamp_sec,boids_alive,predators_alive
3,10,10,1,2,0.7,0.0,10,1
4,10,10,1,4,0.7,0.0,10,1
2,10,10,1,2,0.7,0.0,10,1
1,10,10,1,2,0.7,0.0,10,1
3,10,10,1,2,0.7,1.0,10,1
4,10,10,1,4,0.7,1.0,10,1
2,10,10,1,2,0.7,1.0,10,1
1,10,10,1,2,0.7,1.0,10,1
3,10,10,1,2,0.7,2.0,10,1
4,10,10,1,4,0.7,2.0,10,1
2,10,10,1,2,0.7,2.0,10,1
1,10,10,1,2,0.7,2.0,10,1
3,10,10,1,2,0.7,3.0,10,1
4,10,10,1,4,0.7,3.0,10,1
2,10,10,1,2,0.7,3.0,10,1
1,10,10,1,2,0.7,3.0,10,1
3,10,10,1,2,0.7,4.0,10,1
4,10,10,1,4,0.7,4.0,10,1
2,10,10,1,2,0.7,4.0,10,1
1,10,10,1,2,0.7,4.0,10,1
3,10,10,1,2,0.7,5.0,10,1
4,10,10,1,4,0.7,5.0,10,1
2,10,10,1,2,0.7,5.0,10,1
1,10,10,1,2,0.7,5.0,10,1
3,10,10,1,2,0.7,6.0,10,1
4,10,10,1,4,0.7,6.0,10,1
2,10,10,1,2,0.7,6.0,10,1
1,10,10,1,2,0.7,6.0,10,1
3,10,10,1,2,0.7,7.0,10,1
4,10,10,1,4,0.7,7.0,10,1
2,10,10,1,2,0.7,7.0,10,1
1,10,10,1,2,0.7,7.0,10,1
3,10,10,1,2,0.7,8.0,10,1
4,10,10,1,4,0.7,8.0,10,1
2,10,10,1,2,0.7,8.0,10,1
1,10,10,1,2,0.7,8.0,10,1
3,10,10,1,2,0.7,9.0,10,1
4,10,10,1,4,0.7,9.0,10,1
2,10,10,1,2,0.7,9.0,10,1
1,10,10,1,2,0.7,9.0,10,1
3,10,10,1,2,0.7,10.0,10,1
4,10,10,1,4,0.7,10.0,10,1
2,10,10,1,2,0.7,10.0,10,1
1,10,10,1,2,0.7,10.0,10,1
3,10,10,1,2,0.7,11.0,10,1
4,10,10,1,4,0.7,11.0,10,1
2,10,10,1,2,0.7,11.0,10,1
1,10,10,1,2,0.7,11.0,10,1
3,10,10,1,2,0.7,12.0,10,1
4,10,10,1,4,0.7,12.0,10,1
2,10,10,1,2,0.7,12.0,10,1
1,10,10,1,2,0.7,12.0,10,1
3,10,10,1,2,0.7,13.0,10,1
4,10,10,1,4,0.7,13.0,10,1
2,10,10,1,2,0.7,13.0,10,1
1,10,10,1,2,0.7,13.0,10,1
3,10,10,1,2,0.7,14.0,10,1
4,10,10,1,4,0.7,14.0,10,1
2,10,10,1,2,0.7,14.0,10,1
1,10,10,1,2,0.7,14.0,10,1
3,10,10,1,2,0.7,15.0,10,1
4,10,10,1,4,0.7,15.0,10,1
2,10,10,1,2,0.7,15.0,10,1
1,10,10,1,2,0.7,15.0,10,1
3,10,10,1,2,0.7,16.0,10,1
4,10,10,1,4,0.7,16.0,10,1
2,10,10,1,2,0.7,16.0,10,1
1,10,10,1,2,0.7,16.0,10,1
3,10,10,1,2,0.7,17.0,10,1
4,10,10,1,4,0.7,17.0,10,1
2,10,10,1,2,0.7,17.0,10,1
1,10,10,1,2,0.7,17.0,10,1
3,10,10,1,2,0.7,18.0,10,1
4,10,10,1,4,0.7,18.0,10,1
2,10,10,1,2,0.7,18.0,10,1
1,10,10,1,2,0.7,18.0,10,1
3,10,10,1,2,0.7,19.0,10,1
4,10,10,1,4,0.7,19.0,10,1
2,10,10,1,2,0.7,19.0,10,1
1,10,10,1,2,0.7,19.0,10,1
3,10,10,1,2,0.7,20.0,10,1
4,10,10,1,4,0.7,20.0,10,1
2,10,10,1,2,0.7,20.0,10,1
1,10,10,1,2,0.7,20.0,10,1
3,10,10,1,2,0.7,21.0,10,1
4,10,10,1,4,0.7,21.0,10,1
2,10,10,1,2,0.7,21.0,10,1
1,10,10,1,2,0.7,21.0,10,1
3,10,10,1,2,0.7,22.0,10,1
4,10,10,1,4,0.7,22.0,10,1
2,10,10,1,2,0.7,22.0,10,1
1,10,10,1,2,0.7,22.0,10,1
3,10,10,1,2,0.7,23.0,10,1
4,10,10,1,4,0.7,23.0,10,1
2,10,10,1,2,0.7,23.0,10,1
1,10,10,1,2,0.7,23.0,10,1
3,10,10,1,2,0.7,24.0,10,1
4,10,10,1,4,0.7,24.0,10,1
2,10,10,1,2,0.7,24.0,10,1
1,10,10,1,2,0.7,24.0,10,1
3,10,10,1,2,0.7,25.0,10,1
4,10,10,1,4,0.7,25.0,8,1
2,10,10,1,2,0.7,25.0,10,1
1,10,10,1,2,0.7,25.0,10,1
3,10,10,1,2,0.7,26.0,10,1
4,10,10,1,4,0.7,26.0,8,1
2,10,10,1,2,0.7,26.0,10,1
1,10,10,1,2,0.7,26.0,10,1
3,10,10,1,2,0.7,27.0,10,1
4,10,10,1,4,0.7,27.0,8,1
2,10,10,1,2,0.7,27.0,10,1
1,10,10,1,2,0.7,27.0,10,1
3,10,10,1,2,0.7,28.0,10,1
4,10,10,1,4,0.7,28.0,8,1
2,10,10,1,2,0.7,28.0,10,1
1,10,10,1,2,0.7,28.0,8,1
3,10,10,1,2,0.7,29.0,10,1
4,10,10,1,4,0.7,29.0,8,1
2,10,10,1,2,0.7,29.0,10,1
1,10,10,1,2,0.7,29.0,8,1
3,10,10,1,2,0.7,30.0,10,1
4,10,10,1,4,0.7,30.0,8,1
2,10,10,1,2,0.7,30.0,10,1
1,10,10,1,2,0.7,30.0,8,1
3,10,10,1,2,0.7,31.0,10,1
4,10,10,1,4,0.7,31.0,8,1
2,10,10,1,2,0.7,31.0,10,1
1,10,10,1,2,0.7,31.0,8,1
3,10,10,1,2,0.7,32.0,10,1
4,10,10,1,4,0.7,32.0,8,1
2,10,10,1,2,0.7,32.0,10,1
1,10,10,1,2,0.7,32.0,8,1
3,10,10,1,2,0.7,33.0,10,1
4,10,10,1,4,0.7,33.0,8,1
2,10,10,1,2,0.7,33.0,10,1
1,10,10,1,2,0.7,33.0,8,1
3,10,10,1,2,0.7,34.0,10,1
4,10,10,1,4,0.7,34.0,8,1
2,10,10,1,2,0.7,34.0,10,1
1,10,10,1,2,0.7,34.0,8,1
3,10,10,1,2,0.7,35.0,10,1
4,10,10,1,4,0.7,35.0,8,1
2,10,10,1,2,0.7,35.0,10,1
1,10,10,1,2,0.7,35.0,8,1
3,10,10,1,2,0.7,36.0,10,1
4,10,10,1,4,0.7,36.0,8,1
2,10,10,1,2,0.7,36.0,10,1
1,10,10,1,2,0.7,36.0,8,1
3,10,10,1,2,0.7,37.0,10,1
4,10,10,1,4,0.7,37.0,8,1
2,10,10,1,2,0.7,37.0,10,1
1,10,10,1,2,0.7,37.0,8,1
3,10,10,1,2,0.7,38.0,10,1
4,10,10,1,4,0.7,38.0,7,1
2,10,10,1,2,0.7,38.0,10,1
1,10,10,1,2,0.7,38.0,8,1
3,10,10,1,2,0.7,39.0,10,1
4,10,10,1,4,0.7,39.0,7,1
2,10,10,1,2,0.7,39.0,10,1
1,10,10,1,2,0.7,39.0,8,1
3,10,10,1,2,0.7,40.0,10,1
4,10,10,1,4,0.7,40.0,7,1
2,10,10,1,2,0.7,40.0,10,1
1,10,10,1,2,0.7,40.0,8,1
3,10,10,1,2,0.7,41.0,10,1
4,10,10,1,4,0.7,41.0,7,1
2,10,10,1,2,0.7,41.0,9,1
1,10,10,1,2,0.7,41.0,8,1
3,10,10,1,2,0.7,42.0,10,1
4,10,10,1,4,0.7,42.0,7,1
2,10,10,1,2,0.7,42.0,9,1
1,10,10,1,2,0.7,42.0,8,1
3,10,10,1,2,0.7,43.0,10,1
4,10,10,1,4,0.7,43.0,7,1
2,10,10,1,2,0.7,43.0,9,1
1,10,10,1,2,0.7,43.0,8,1
3,10,10,1,2,0.7,44.0,10,1
4,10,10,1,4,0.7,44.0,7,1
2,10,10,1,2,0.7,44.0,9,1
1,10,10,1,2,0.7,44.0,8,1
3,10,10,1,2,0.7,45.0,10,1
4,10,10,1,4,0.7,45.0,7,1
2,10,10,1,2,0.7,45.0,9,1
1,10,10,1,2,0.7,45.0,8,1
3,10,10,1,2,0.7,46.0,10,1
4,10,10,1,4,0.7,46.0,7,1
2,10,10,1,2,0.7,46.0,9,1
1,10,10,1,2,0.7,46.0,8,1
3,10,10,1,2,0.7,47.0,10,1
4,10,10,1,4,0.7,47.0,7,1
2,10,10,1,2,0.7,47.0,7,1
1,10,10,1,2,0.7,47.0,8,1
3,10,10,1,2,0.7,48.0,10,1
4,10,10,1,4,0.7,48.0,7,1
2,10,10,1,2,0.7,48.0,7,1
1,10,10,1,2,0.7,48.0,8,1
3,10,10,1,2,0.7,49.0,10,1
4,10,10,1,4,0.7,49.0,7,1
2,10,10,1,2,0.7,49.0,7,1
1,10,10,1,2,0.7,49.0,8,1
3,10,10,1,2,0.7,50.0,10,1
4,10,10,1,4,0.7,50.0,7,1
2,10,10,1,2,0.7,50.0,6,1
1,10,10,1,2,0.7,50.0,8,1
3,10,10,1,2,0.7,51.0,10,1
4,10,10,1,4,0.7,51.0,6,1
2,10,10,1,2,0.7,51.0,6,1
1,10,10,1,2,0.7,51.0,8,1
3,10,10,1,2,0.7,52.0,10,1
4,10,10,1,4,0.7,52.0,6,1
2,10,10,1,2,0.7,52.0,6,1
1,10,10,1,2,0.7,52.0,8,1
3,10,10,1,2,0.7,53.0,10,1
4,10,10,1,4,0.7,53.0,6,1
2,10,10,1,2,0.7,53.0,6,1
1,10,10,1,2,0.7,53.0,8,1
3,10,10,1,2,0.7,54.0,10,1
4,10,10,1,4,0.7,54.0,6,1
2,10,10,1,2,0.7,54.0,6,1
1,10,10,1,2,0.7,54.0,8,1
3,10,10,1,2,0.7,55.0,10,1
4,10,10,1,4,0.7,55.0,6,1
2,10,10,1,2,0.7,55.0,6,1
1,10,10,1,2,0.7,55.0,8,1
3,10,10,1,2,0.7,56.0,10,1
4,10,10,1,4,0.7,56.0,6,1
2,10,10,1,2,0.7,56.0,6,1
1,10,10,1,2,0.7,56.0,8,1
3,10,10,1,2,0.7,57.0,10,1
4,10,10,1,4,0.7,57.0,6,1
2,10,10,1,2,0.7,57.0,6,1
1,10,10,1,2,0.7,57.0,8,1
3,10,10,1,2,0.7,58.0,10,1
4,10,10,1,4,0.7,58.0,6,1
2,10,10,1,2,0.7,58.0,6,1
1,10,10,1,2,0.7,58.0,8,1
3,10,10,1,2,0.7,59.0,10,1
4,10,10,1,4,0.7,59.0,6,1
2,10,10,1,2,0.7,59.0,6,1
1,10,10,1,2,0.7,59.0,8,1
3,10,10,1,2,0.7,60.0,10,1
4,10,10,1,4,0.7,60.0,6,1
2,10,10,1,2,0.7,60.0,6,1
1,10,10,1,2,0.7,60.0,8,1
3,10,10,1,2,0.7,61.0,10,1
4,10,10,1,4,0.7,61.0,6,1
2,10,10,1,2,0.7,61.0,6,1
1,10,10,1,2,0.7,61.0,8,1
3,10,10,1,2,0.7,62.0,10,1
4,10,10,1,4,0.7,62.0,6,1
2,10,10,1,2,0.7,62.0,6,1
1,10,10,1,2,0.7,62.0,8,1
3,10,10,1,2,0.7,63.0,10,1
4,10,10,1,4,0.7,63.0,6,1
2,10,10,1,2,0.7,63.0,6,1
1,10,10,1,2,0.7,63.0,8,1
3,10,10,1,2,0.7,64.0,10,1
4,10,10,1,4,0.7,64.0,6,1
2,10,10,1,2,0.7,64.0,6,1
1,10,10,1,2,0.7,64.0,8,1
3,10,10,1,2,0.7,65.0,10,1
4,10,10,1,4,0.7,65.0,6,1
2,10,10,1,2,0.7,65.0,6,1
1,10,10,1,2,0.7,65.0,8,1
3,10,10,1,2,0.7,66.0,10,1
4,10,10,1,4,0.7,66.0,6,1
2,10,10,1,2,0.7,66.0,6,1
1,10,10,1,2,0.7,66.0,8,1
3,10,10,1,2,0.7,67.0,10,1
4,10,10,1,4,0.7,67.0,6,1
2,10,10,1,2,0.7,67.0,6,1
1,10,10,1,2,0.7,67.0,8,1
3,10,10,1,2,0.7,68.0,10,1
4,10,10,1,4,0.7,68.0,6,1
2,10,10,1,2,0.7,68.0,6,1
1,10,10,1,2,0.7,68.0,8,1
3,10,10,1,2,0.7,69.0,10,1
4,10,10,1,4,0.7,69.0,6,1
2,10,10,1,2,0.7,69.0,6,1
1,10,10,1,2,0.7,69.0,8,1
3,10,10,1,2,0.7,70.0,10,1
4,10,10,1,4,0.7,70.0,6,1
2,10,10,1,2,0.7,70.0,6,1
1,10,10,1,2,0.7,70.0,8,1
3,10,10,1,2,0.7,71.0,8,1
4,10,10,1,4,0.7,71.0,6,1
2,10,10,1,2,0.7,71.0,6,1
1,10,10,1,2,0.7,71.0,8,1
3,10,10,1,2,0.7,72.0,8,1
4,10,10,1,4,0.7,72.0,6,1
2,10,10,1,2,0.7,72.0,6,1
1,10,10,1,2,0.7,72.0,8,1
3,10,10,1,2,0.7,73.0,8,1
4,10,10,1,4,0.7,73.0,6,1
2,10,10,1,2,0.7,73.0,6,1
1,10,10,1,2,0.7,73.0,8,1
3,10,10,1,2,0.7,74.0,8,1
4,10,10,1,4,0.7,74.0,6,1
2,10,10,1,2,0.7,74.0,6,1
1,10,10,1,2,0.7,74.0,8,1
3,10,10,1,2,0.7,75.0,4,1
4,10,10,1,4,0.7,75.0,6,1
2,10,10,1,2,0.7,75.0,6,1
1,10,10,1,2,0.7,75.0,8,1
3,10,10,1,2,0.7,76.0,4,1
4,10,10,1,4,0.7,76.0,5,1
2,10,10,1,2,0.7,76.0,6,1
1,10,10,1,2,0.7,76.0,8,1
3,10,10,1,2,0.7,77.0,4,1
4,10,10,1,4,0.7,77.0,5,1
2,10,10,1,2,0.7,77.0,6,1
1,10,10,1,2,0.7,77.0,7,1
3,10,10,1,2,0.7,78.0,1,1
4,10,10,1,4,0.7,78.0,4,1
2,10,10,1,2,0.7,78.0,5,1
1,10,10,1,2,0.7,78.0,7,1
3,10,10,1,2,0.7,79.0,1,1
4,10,10,1,4,0.7,79.0,4,1
2,10,10,1,2,0.7,79.0,5,1
1,10,10,1,2,0.7,79.0,5,1
3,10,10,1,2,0.7,80.0,1,1
4,10,10,1,4,0.7,80.0,4,1
2,10,10,1,2,0.7,80.0,5,1
1,10,10,1,2,0.7,80.0,5,1
3,10,10,1,2,0.7,81.0,1,1
4,10,10,1,4,0.7,81.0,4,1
2,10,10,1,2,0.7,81.0,5,1
1,10,10,1,2,0.7,81.0,5,1
3,10,10,1,2,0.7,82.0,1,1
4,10,10,1,4,0.7,82.0,4,1
2,10,10,1,2,0.7,82.0,5,1
1,10,10,1,2,0.7,82.0,5,1
3,10,10,1,2,0.7,83.0,1,1
4,10,10,1,4,0.7,83.0,4,1
2,10,10,1,2,0.7,83.0,5,1
1,10,10,1,2,0.7,83.0,5,1
3,10,10,1,2,0.7,84.0,1,1
4,10,10,1,4,0.7,84.0,4,1
2,10,10,1,2,0.7,84.0,5,1
1,10,10,1,2,0.7,84.0,5,1
3,10,10,1,2,0.7,85.0,1,1
4,10,10,1,4,0.7,85.0,4,1
2,10,10,1,2,0.7,85.0,5,1
1,10,10,1,2,0.7,85.0,5,1
3,10,10,1,2,0.7,86.0,1,1
4,10,10,1,4,0.7,86.0,4,1
2,10,10,1,2,0.7,86.0,5,1
1,10,10,1,2,0.7,86.0,5,1
3,10,10,1,2,0.7,87.0,1,1
4,10,10,1,4,0.7,87.0,4,1
2,10,10,1,2,0.7,87.0,5,1
1,10,10,1,2,0.7,87.0,5,1
3,10,10,1,2,0.7,88.0,1,1
4,10,10,1,4,0.7,88.0,4,1
2,10,10,1,2,0.7,88.0,5,1
1,10,10,1,2,0.7,88.0,4,1
3,10,10,1,2,0.7,89.0,1,1
4,10,10,1,4,0.7,89.0,3,1
2,10,10,1,2,0.7,89.0,4,1
1,10,10,1,2,0.7,89.0,4,1
3,10,10,1,2,0.7,90.0,1,1
4,10,10,1,4,0.7,90.0,2,1
2,10,10,1,2,0.7,90.0,3,1
1,10,10,1,2,0.7,90.0,3,1
3,10,10,1,2,0.7,91.0,1,1
4,10,10,1,4,0.7,91.0,2,1
2,10,10,1,2,0.7,91.0,3,1
1,10,10,1,2,0.7,91.0,3,1
3,10,10,1,2,0.7,92.0,1,1
4,10,10,1,4,0.7,92.0,2,1
2,10,10,1,2,0.7,92.0,3,1
1,10,10,1,2,0.7,92.0,3,1
3,10,10,1,2,0.7,93.0,1,1
4,10,10,1,4,0.7,93.0,2,1
2,10,10,1,2,0.7,93.0,3,1
1,10,10,1,2,0.7,93.0,3,1
3,10,10,1,2,0.7,94.0,1,1
4,10,10,1,4,0.7,94.0,2,1
2,10,10,1,2,0.7,94.0,3,1
1,10,10,1,2,0.7,94.0,3,1
3,10,10,1,2,0.7,95.0,1,1
4,10,10,1,4,0.7,95.0,2,1
2,10,10,1,2,0.7,95.0,3,1
1,10,10,1,2,0.7,95.0,3,1
3,10,10,1,2,0.7,96.0,1,1
4,10,10,1,4,0.7,96.0,2,1
2,10,10,1,2,0.7,96.0,3,1
1,10,10,1,2,0.7,96.0,3,1
3,10,10,1,2,0.7,97.0,1,1
4,10,10,1,4,0.7,97.0,2,1
2,10,10,1,2,0.7,97.0,3,1
1,10,10,1,2,0.7,97.0,3,1
3,10,10,1,2,0.7,98.0,1,1
4,10,10,1,4,0.7,98.0,2,1
2,10,10,1,2,0.7,98.0,3,1
1,10,10,1,2,0.7,98.0,3,1
3,10,10,1,2,0.7,99.0,1,1
4,10,10,1,4,0.7,99.0,2,1
2,10,10,1,2,0.7,99.0,3,1
1,10,10,1,2,0.7,99.0,3,1
3,10,10,1,2,0.7,100.0,1,1
4,10,10,1,4,0.7,100.0,2,1
2,10,10,1,2,0.7,100.0,3,1
1,10,10,1,2,0.7,100.0,3,1
3,10,10,1,2,0.7,101.0,1,1
4,10,10,1,4,0.7,101.0,2,1
2,10,10,1,2,0.7,101.0,3,1
1,10,10,1,2,0.7,101.0,2,1
3,10,10,1,2,0.7,102.0,1,1
4,10,10,1,4,0.7,102.0,2,1
2,10,10,1,2,0.7,102.0,2,1
1,10,10,1,2,0.7,102.0,2,1
4,10,10,1,4,0.7,102.52,0,1
3,10,10,1,2,0.7,103.0,1,1
5,10,10,1,4,0.7,0.0,10,1
2,10,10,1,2,0.7,103.0,2,1
1,10,10,1,2,0.7,103.0,2,1
3,10,10,1,2,0.7,104.0,1,1
5,10,10,1,4,0.7,1.0,10,1
2,10,10,1,2,0.7,104.0,2,1
1,10,10,1,2,0.7,104.0,2,1
3,10,10,1,2,0.7,105.0,1,1
5,10,10,1,4,0.7,2.0,10,1
2,10,10,1,2,0.7,105.0,2,1
1,10,10,1,2,0.7,105.0,1,1
3,10,10,1,2,0.7,106.0,1,1
5,10,10,1,4,0.7,3.0,10,1
2,10,10,1,2,0.7,106.0,2,1
1,10,10,1,2,0.7,106.0,1,1
3,10,10,1,2,0.7,107.0,1,1
5,10,10,1,4,0.7,4.0,10,1
2,10,10,1,2,0.7,107.0,2,1
1,10,10,1,2,0.7,107.0,1,1
3,10,10,1,2,0.7,108.0,1,1
5,10,10,1,4,0.7,5.0,10,1
2,10,10,1,2,0.7,108.0,2,1
1,10,10,1,2,0.7,108.0,1,1
3,10,10,1,2,0.7,109.0,1,1
5,10,10,1,4,0.7,6.0,10,1
2,10,10,1,2,0.7,109.0,2,1
1,10,10,1,2,0.7,109.0,1,1
3,10,10,1,2,0.7,110.0,1,1
5,10,10,1,4,0.7,7.0,10,1
2,10,10,1,2,0.7,110.0,2,1
1,10,10,1,2,0.7,110.0,1,1
3,10,10,1,2,0.7,111.0,1,1
5,10,10,1,4,0.7,8.0,10,1
2,10,10,1,2,0.7,111.0,2,1
1,10,10,1,2,0.7,111.0,1,1
3,10,10,1,2,0.7,112.0,1,1
5,10,10,1,4,0.7,9.0,10,1
2,10,10,1,2,0.7,112.0,2,1
1,10,10,1,2,0.7,112.0,1,1
3,10,10,1,2,0.7,113.0,1,1
5,10,10,1,4,0.7,10.0,10,1
2,10,10,1,2,0.7,113.0,2,1
1,10,10,1,2,0.7,113.0,1,1
3,10,10,1,2,0.7,114.0,1,1
5,10,10,1,4,0.7,11.0,10,1
2,10,10,1,2,0.7,114.0,2,1
1,10,10,1,2,0.7,114.0,1,1
3,10,10,1,2,0.7,115.0,1,1
5,10,10,1,4,0.7,12.0,10,1
2,10,10,1,2,0.7,115.0,2,1
1,10,10,1,2,0.7,115.0,1,1
3,10,10,1,2,0.7,116.0,1,1
5,10,10,1,4,0.7,13.0,10,1
2,10,10,1,2,0.7,116.0,2,1
1,10,10,1,2,0.7,116.0,1,1
1,10,10,1,2,0.7,116.36,1,0
3,10,10,1,2,0.7,117.0,1,1
5,10,10,1,4,0.7,14.0,10,1
2,10,10,1,2,0.7,117.0,2,1
6,10,10,1,4,0.7,0.0,10,1
3,10,10,1,2,0.7,118.0,1,1
5,10,10,1,4,0.7,15.0,10,1
2,10,10,1,2,0.7,118.0,1,1
6,10,10,1,4,0.7,1.0,10,1
3,10,10,1,2,0.7,119.0,1,1
5,10,10,1,4,0.7,16.0,10,1
2,10,10,1,2,0.7,119.0,1,1
6,10,10,1,4,0.7,2.0,10,1
3,10,10,1,2,0.7,120.0,1,1
5,10,10,1,4,0.7,17.0,10,1
2,10,10,1,2,0.7,120.0,1,1
6,10,10,1,4,0.7,3.0,10,1
3,10,10,1,2,0.7,121.0,1,1
5,10,10,1,4,0.7,18.0,10,1
2,10,10,1,2,0.7,121.0,1,1
6,10,10,1,4,0.7,4.0,10,1
3,10,10,1,2,0.7,122.0,1,1
5,10,10,1,4,0.7,19.0,10,1
2,10,10,1,2,0.7,122.0,1,1
6,10,10,1,4,0.7,5.0,10,1
3,10,10,1,2,0.7,123.0,1,1
5,10,10,1,4,0.7,20.0,10,1
2,10,10,1,2,0.7,123.0,1,1
6,10,10,1,4,0.7,6.0,10,1
3,10,10,1,2,0.7,124.0,1,1
5,10,10,1,4,0.7,21.0,10,1
2,10,10,1,2,0.7,124.0,1,1
6,10,10,1,4,0.7,7.0,10,1
3,10,10,1,2,0.7,125.0,1,1
5,10,10,1,4,0.7,22.0,10,1
2,10,10,1,2,0.7,125.0,1,1
6,10,10,1,4,0.7,8.0,10,1
3,10,10,1,2,0.7,126.0,1,1
5,10,10,1,4,0.7,23.0,10,1
2,10,10,1,2,0.7,126.0,1,1
6,10,10,1,4,0.7,9.0,10,1
3,10,10,1,2,0.7,127.0,1,1
5,10,10,1,4,0.7,24.0,10,1
2,10,10,1,2,0.7,127.0,1,1
6,10,10,1,4,0.7,10.0,10,1
3,10,10,1,2,0.7,128.0,1,1
5,10,10,1,4,0.7,25.0,10,1
2,10,10,1,2,0.7,128.0,1,1
6,10,10,1,4,0.7,11.0,10,1
3,10,10,1,2,0.7,129.0,1,1
5,10,10,1,4,0.7,26.0,10,1
2,10,10,1,2,0.7,129.0,1,1
6,10,10,1,4,0.7,12.0,10,1
2,10,10,1,2,0.7,129.4,1,0
3,10,10,1,2,0.7,130.0,1,1
5,10,10,1,4,0.7,27.0,10,1
7,10,10,1,6,0.7,0.0,10,1
6,10,10,1,4,0.7,13.0,10,1
3,10,10,1,2,0.7,131.0,1,1
5,10,10,1,4,0.7,28.0,10,1
7,10,10,1,6,0.7,1.0,10,1
6,10,10,1,4,0.7,14.0,10,1
3,10,10,1,2,0.7,132.0,1,1
5,10,10,1,4,0.7,29.0,10,1
7,10,10,1,6,0.7,2.0,10,1
6,10,10,1,4,0.7,15.0,10,1
3,10,10,1,2,0.7,133.0,1,1
5,10,10,1,4,0.7,30.0,10,1
7,10,10,1,6,0.7,3.0,10,1
6,10,10,1,4,0.7,16.0,10,1
3,10,10,1,2,0.7,134.0,1,1
5,10,10,1,4,0.7,31.0,10,1
7,10,10,1,6,0.7,4.0,10,1
6,10,10,1,4,0.7,17.0,10,1
3,10,10,1,2,0.7,135.0,1,1
5,10,10,1,4,0.7,32.0,10,1
7,10,10,1,6,0.7,5.0,10,1
6,10,10,1,4,0.7,18.0,10,1
3,10,10,1,2,0.7,136.0,1,1
5,10,10,1,4,0.7,33.0,10,1
7,10,10,1,6,0.7,6.0,10,1
6,10,10,1,4,0.7,19.0,10,1
3,10,10,1,2,0.7,137.0,1,1
5,10,10,1,4,0.7,34.0,10,1
7,10,10,1,6,0.7,7.0,10,1
6,10,10,1,4,0.7,20.0,10,1
3,10,10,1,2,0.7,138.0,1,1
5,10,10,1,4,0.7,35.0,10,1
7,10,10,1,6,0.7,8.0,10,1
6,10,10,1,4,0.7,21.0,10,1
3,10,10,1,2,0.7,139.0,1,1
5,10,10,1,4,0.7,36.0,10,1
7,10,10,1,6,0.7,9.0,10,1
6,10,10,1,4,0.7,22.0,10,1
3,10,10,1,2,0.7,140.0,1,1
5,10,10,1,4,0.7,37.0,10,1
7,10,10,1,6,0.7,10.0,10,1
6,10,10,1,4,0.7,23.0,9,1
3,10,10,1,2,0.7,141.0,1,1
5,10,10,1,4,0.7,38.0,10,1
7,10,10,1,6,0.7,11.0,10,1
6,10,10,1,4,0.7,24.0,9,1
3,10,10,1,2,0.7,142.0,1,1
5,10,10,1,4,0.7,39.0,10,1
7,10,10,1,6,0.7,12.0,10,1
6,10,10,1,4,0.7,25.0,9,1
3,10,10,1,2,0.7,143.0,1,1
5,10,10,1,4,0.7,40.0,10,1
7,10,10,1,6,0.7,13.0,10,1
6,10,10,1,4,0.7,26.0,9,1
3,10,10,1,2,0.7,144.0,1,1
5,10,10,1,4,0.7,41.0,10,1
7,10,10,1,6,0.7,14.0,9,1
6,10,10,1,4,0.7,27.0,9,1
3,10,10,1,2,0.7,145.0,1,1
5,10,10,1,4,0.7,42.0,10,1
7,10,10,1,6,0.7,15.0,9,1
6,10,10,1,4,0.7,28.0,9,1
3,10,10,1,2,0.7,146.0,1,1
5,10,10,1,4,0.7,43.0,10,1
7,10,10,1,6,0.7,16.0,9,1
6,10,10,1,4,0.7,29.0,9,1
3,10,10,1,2,0.7,147.0,1,1
5,10,10,1,4,0.7,44.0,10,1
7,10,10,1,6,0.7,17.0,9,1
6,10,10,1,4,0.7,30.0,9,1
3,10,10,1,2,0.7,148.0,1,1
5,10,10,1,4,0.7,45.0,10,1
7,10,10,1,6,0.7,18.0,9,1
6,10,10,1,4,0.7,31.0,9,1
3,10,10,1,2,0.7,149.0,1,1
5,10,10,1,4,0.7,46.0,10,1
7,10,10,1,6,0.7,19.0,9,1
6,10,10,1,4,0.7,32.0,9,1
3,10,10,1,2,0.7,150.0,1,1
5,10,10,1,4,0.7,47.0,10,1
7,10,10,1,6,0.7,20.0,9,1
6,10,10,1,4,0.7,33.0,9,1
